,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original,Lingua
,batata,tubérculo comestível ,batata1.mp3,patata,tubérculo comestível,batata0.mp3,Espanhol
,baunilha,"planta nativa da América Central, cuja essência é utilizada em confeitaria",baunilha1.mp3,vainilla,"planta nativa da América Central, cuja essência é utilizada em confeitaria",baunilha0.mp3,Espanhol
,boldo,"arbusto de origem chilena, cujas folhas são usadas como infusão digestiva",boldo1.mp3,boldo,"arbusto de origem chilena, cujas folhas são usadas como infusão digestiva",boldo0.mp3,Espanhol
,bolero,gênero musical de origem Espanhola; canção popular romântica latino-americana,bolero1.mp3,bolero ,gênero musical de origem Espanhola; canção popular romântica latino-americana,bolero0.mp3,Espanhol
,bombachas,calças típicas do traje masculino gaúcho,bombachas1.mp3,bombachas,calças típicas do traje masculino gaúcho,bombachas0.mp3,Espanhol
,cacau,"fruto do cacaueiro, do qual se faz manteiga e chocolate",cacau1.mp3,cacao,"fruto do cacaueiro, do qual se faz manteiga e chocolate",cacau0.mp3,Espanhol
,cacique,chefe indígena; mandachuva,cacique1.mp3,cacique ,chefe indígena; mandachuva,cacique0.mp3,Espanhol
,camarada,companheiro,camarada1.mp3,camarada,companheiro,camarada0.mp3,Espanhol
,camarote,recinto especial em área de espetáculos,camarote1.mp3,camarote,recinto especial em sala de espetáculos,camarote0.mp3,Espanhol
,canoa,"embarcação pequena, movida a remos, de origem indígena",canoa1.mp3,canoa,"embarcação pequena, movida a remos, de origem indígena",canoa0.mp3,Espanhol
,caudilho,chefe político; ditador Espanhol ou latino-americano,caudilho1.mp3,caudillo,chefe político; ditador Espanhol ou latino-americano,caudilho0.mp3,Espanhol
,cavalheiro,"homem nobre, educado, gentil",cavalheiro1.mp3,caballero,"homem nobre, educado, gentil",cavalheiro0.mp3,Espanhol
,chácara,pequena propriedade rural,chacara1.mp3,chacra,pequena propriedade rural,chacara0.mp3,Espanhol
,charque,carne-seca,charque1.mp3,charque,carne-seca,charque0.mp3,Espanhol
,chê,expressão usada para chamar a atenção de alguém; forma de tratamento carinhoso; expressão de surpresa,che1.mp3,che,expressão usada para chamar a atenção de alguém; forma de tratamento carinhoso; expressão de surpresa,che0.mp3,Espanhol
,chocolate,produto alimentício derivado do cacau,chocolate1.mp3,chocolate,"produto alimentício derivado do cacau; oriunda do náuatle, língua ameríndia falada pelo antigo povo asteca, do México",chocolate0.mp3,Espanhol
,cigarro,"tabaco picado, enrolado em papel fino",cigarro1.mp3,cigarro,"tabaco picado, enrolado em papel fino ",cigarro0.mp3,Espanhol
,gaúcho,"habitante da zona rural dos pampas, no Rio Grande do Sul, na Argentina e no Uruguai",gaucho1.mp3,gaucho,"habitante da zona rural dos pampas, no Rio Grande do Sul, na Argentina e no Uruguai",gaucho0.mp3,Espanhol
,guampa,chifre de boi talhado em forma de copo ou vasilha para líquidos,guampa1.mp3,guampa,chifre de boi talhado em forma de copo ou vasilha para líquidos,guampa0.mp3,Espanhol
,guasca,tira ou correia feita de couro cru,guasca1.mp3,guasca,tira ou correia feita de couro cru,guasca0.mp3,Espanhol
,guerrilha,luta armada empreendida por um movimento revolucionário,guerrilha1.mp3,guerrilla,luta armada empreendida por um movimento revolucionário,guerrilha0.mp3,Espanhol
,mantilha,echarpe que faz parte do traje nacional das Espanholas; manto fino e rendado com que as mulheres cobrem a cabeça,mantilha1.mp3,mantilla,echarpe que faz parte do traje nacional das Espanholas,mantilha0.mp3,Espanhol
,mate,infusão preparada com a erva-mate; chimarrão,mate1.mp3,mate,infusão preparada com a erva-mate; cabaça usada para se tomar essa infusão,mate0.mp3,Espanhol
,moreno,que tem a pele mais escura; que tem os cabelos escuros,moreno1.mp3,moreno,que tem a pele mais escura; que tem os cabelos escuros; que tem a cor da pele e dos cabelos de um mouro,moreno0.mp3,Espanhol
,pampa,"planície extensa e sem árvores, paisagem característica do Rio Grande do Sul, da Argentina e do Uruguai",pampa1.mp3,pampa,"planície extensa e sem árvores, região característica do Rio Grande do Sul, da Argentina e do Uruguai",pampa0.mp3,Espanhol
,poncho,"capa quadrangular de lã, com orifício para a cabeça",poncho1.mp3,poncho,"capa quadrangular de lã, com orifício para a cabeça",poncho0.mp3,Espanhol
,querência,lugar onde se nasceu; pátria,querencia1.mp3,querencia,inclinação do homem e dos animais de voltar ao lugar onde se criaram; lugar onde se nasceu; carinho,querencia0.mp3,Espanhol
,rancho,"pequena fazenda; chácara, sítio",rancho1.mp3,rancho,lugar onde se cria gado e outros animais,rancho0.mp3,Espanhol
,tomate,"fruto do tomateiro, planta nativa da América",tomate1.mp3,tomate,"fruto do tomateiro, planta nativa da América",tomate0.mp3,Espanhol
